Kategoria,Data,Suma jm.,Suma jm. PLN,Suma jm. EUR,Suma jm. USD,Wartość suma w PLN,Wartość PLN,Wartość EUR,Wartość USD
usługi,20230301,1720,1050,670,,334830,58698,58843,
półprodukty,20230301,175,163,12,,49217,21091,5978,
inne,20230301,52,42,10,,1000,1000,,
leżaki reklamowe,20230301,206,166,40,,23582,18624,1056,
digital,20230301,4,3,1,,46870,33950,2750,
zabudowy smart,20230301,7,5,2,,18543,18083,98,
wydruk rollup,20230301,5,5,,,570,570,,
adfloor,20230301,1,,1,,6025,,1285,
malo,20230301,28,,28,,7906,,1680,
wydruk classic,20230301,42,38,4,,2626,2439,40,
wydruk flaga,20230301,18,2,16,,1514,315,256,
wydruk leżak premium,20230301,4,4,,,220,220,,
wydruk meble reklamowe,20230301,32,31,1,,4899,4730,36,
wydruk namioty,20230301,87,36,51,,40685,14098,5662,
wydruk namioty premium,20230301,31,10,21,,26008,8238,3781,
wydruk premium,20230301,32,13,19,,6816,3892,623,
bramy pneumatyczne,20230301,3,2,1,,12979,7480,1175,
flagi,20230301,215,201,14,,45223,40479,1011,
meble reklamowe,20230301,122,92,30,,37555,27997,2033,
media do druku,20230301,46,6,40,,450,450,,
namioty,20230301,59,28,31,,259777,106352,32659,
namioty akcesoria,20230301,7,3,4,,4382,1707,570,
outdoor akcesoria,20230301,309,252,57,,36135,27441,1852,
potykacze,20230301,4,3,1,,2748,1112,350,
ramy tekstylne akcesoria,20230301,382,217,165,,35793,21931,2953,
ramy tekstylne custom niepodświetlane,20230301,61,39,22,,60896,49505,2420,
ramy tekstylne custom podświetlane,20230301,44,20,24,,172094,67583,22290,
ramy tekstylne p&p,20230301,422,176,246,,777829,356822,89690,
ramy tekstylne standard niepodświetlane,20230301,19,18,1,,22805,20578,474,
ramy tekstylne standard podświetlane,20230301,22,9,13,,107498,34663,15508,
rental,20230301,16,16,,,4060,4060,,
rollupy,20230301,387,312,75,,104753,85020,4203,
słupy,20230301,21,12,9,,18771,8750,2134,
stoiska degustacyjne,20230301,53,16,37,,39423,11964,5862,
stoiska degustacyjne akcesoria,20230301,145,5,140,,9780,600,1960,
stojaki reklamowe,20230301,44,40,4,,22137,20523,344,
stojaki reklamowe akcesoria,20230301,4,4,,,220,220,,
systemy podwieszane,20230301,18,6,12,,49882,18949,6586,
systemy podwieszane akcesoria,20230301,6,6,,,6,6,,
ścianki banerowe,20230301,22,15,7,,8915,6494,517,
ścianki popup,20230301,5,5,,,10448,10448,,
trybunki reklamowe,20230301,388,179,209,,419266,183967,50149,
trybunki reklamowe akcesoria,20230301,28,25,3,,870,471,85,
vario akcesoria,20230301,245,123,122,,40099,21500,3966,
vario crazy,20230301,82,52,30,,137281,83135,11551,
vario klasyczne ścianki,20230301,167,135,32,,300445,232316,14505,
vario light,20230301,802,436,366,,722695,372145,74686,
wydruk blockout,20230301,15,15,,,375,375,,
wydruk blockout adframe,20230301,51,23,28,,16537,7822,1855,
wydruk blockout foldable,20230301,4,3,1,,2005,2000,1,
wydruk blockout mframe,20230301,287,233,54,,108793,85041,5055,
wydruk blockout multiframe,20230301,146,77,69,,64670,35321,6251,
wydruk ramy tekstylne custom podświetlane,20230301,214,111,103,,80372,55066,5390,
wydruk ramy tekstylne p&p,20230301,372,224,148,,82347,53020,6247,
wydruk ramy tekstylne standard niepodświetlane,20230301,10,2,8,,530,404,27,
wydruk ramy tekstylne standard podświetlane,20230301,76,54,22,,33072,20993,2571,
wydruk trybunka classic,20230301,91,22,69,,22275,4157,3867,
wydruk trybunka podświetlana,20230301,54,14,40,,11914,2098,2091,
wydruk trybunka vario,20230301,104,19,85,,25346,4315,4483,
wydruk vario,20230301,30,11,19,,21397,9380,2561,
wydruk vario crazy,20230301,174,23,151,,98507,25514,15530,
wydruk vario klasyczne kształty,20230301,128,83,45,,109415,66879,9054,
wydruk vario light,20230301,375,176,199,,187495,86092,21606,
wydruk vario podwieszane,20230301,5,,5,,7229,,1540,
zabudowy akcesoria,20230301,31,29,2,,4585,3447,242,
zabudowy foldable,20230301,3,2,1,,12855,12342,110,
zabudowy mframe,20230301,45,34,11,,350540,306240,9430,
zabudowy mframe akcesoria,20230301,594,278,316,,24499,10144,3061,
zabudowy multiframe,20230301,41,15,26,,286996,126895,34095,
zabudowy multiframe akcesoria,20230301,281,56,225,,50528,17469,7041,
zabudowy sego,20230301,24,21,3,,62078,55903,1317,
zabudowy sego akcesoria,20230301,33,28,5,,5220,4561,140,
usługi graficzne,20230301,114,95,19,,19906,15426,955,
usługi montażu,20230301,4,4,,,100396,100396,,